Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
21,00:00:00.876,0.19257434774676155,0.04575807334428024,0.16865535486225142,0.363309615033753
22,00:00:00.918,5.242753755397433,8.108483853311439,2.312096332785988,5.3076810800948735
23,00:00:00.959,4.63548014352612,6.0300675059295745,3.4243751140302865,4.4519978106185
24,00:00:01.001,0.3222952016055464,0.11607370917715745,0.6484948002189381,0.20231709542054369
25,00:00:01.043,0.30417198808003404,0.07898193760262726,0.6026090129538405,0.23092501368363438
26,00:00:01.084,0.18295931399379675,0.049206349206349205,0.44074074074074077,0.05893085203430031
27,00:00:01.126,5.000273672687466,2.3734902390074804,5.77989417989418,6.847436599160737
28,00:00:01.168,54.902049504348355,21.313665389527458,82.08239372377304,61.31008939974457
29,00:00:01.210,2.6126801678525817,2.605582922824302,0.6877577084473636,4.544699872286079
30,00:00:01.251,2.8486833302925256,2.772194854953476,0.5496077358146324,5.224247400109469
31,00:00:01.293,1.8571975916803503,1.9729976281700419,0.36834519248312353,3.2302499543878853
32,00:00:01.335,1.8032962354801436,1.9370005473453749,0.5435139573070608,2.929374201787995
33,00:00:01.376,66.09613209268382,46.571720488961866,75.03614303959131,76.68053274949827
34,00:00:01.418,42.686352855318376,38.51689472723955,42.3391899288451,47.20297390987046
35,00:00:01.460,6.487569178373776,5.808575077540595,0.584437146506112,13.069695311074621
36,00:00:01.501,5.207431733868515,4.475716110198869,0.4489509213647145,10.697628170041963
37,00:00:01.543,4.486389345010035,3.421346469622332,0.5045612114577632,9.53326035395001
38,00:00:01.585,2.479006264063736,2.1972815179711733,0.43023170954205436,4.809505564677979
39,00:00:01.627,2.255123760870887,1.633935413245758,0.4400656814449918,4.691370187921912
40,00:00:01.668,1.1389892355409594,0.9129355956942163,0.2481663929939792,2.2558657179346833
41,00:00:01.710,2.515915587179955,1.5963510308337894,0.6038679073161832,5.347527823389893
42,00:00:01.752,1.4130146566928177,1.1057288815909505,0.4152526911147601,2.718062397372742
43,00:00:01.793,1.0742200328407223,0.846378398102536,0.3388250319284802,2.037456668491151
44,00:00:01.835,60.51741166453811,47.36734172596242,75.29715380405035,58.887739463601534
45,00:00:01.877,2.701708933892842,2.040430578361613,0.8970443349753695,5.167651888341544
46,00:00:01.919,6.5996776743903185,4.841233351578179,3.4315818281335524,11.526217843459223
47,00:00:01.960,2.6132335948427903,2.383050538222952,0.5683087027914614,4.888341543513957
48,00:00:02.002,4.931855500821018,4.289144316730524,2.454041233351578,8.052380952380952
49,00:00:02.044,2.140156905674147,2.0139573070607555,0.4646049990877577,3.941908410873928
50,00:00:02.085,4.078531898072128,3.331107462141945,2.825980660463419,6.07850757161102
51,00:00:02.127,2.021303898315393,2.162233169129721,0.35530012771392083,3.546378398102536
52,00:00:02.169,5.166976829045795,4.57591680350301,3.2776683087027916,7.647345374931581
53,00:00:02.211,2.767840418415131,2.6227148330596606,0.7373107097245029,4.94349571246123
54,00:00:02.252,5.646414887794198,4.466666666666667,4.000237182995804,8.472340813720123
55,00:00:02.294,1.7558049017819133,1.7346652070790003,0.5413610654989965,2.991388432767743
56,00:00:02.336,6.69127288207748,5.799762817004196,4.456923918992884,9.817131910235359
57,00:00:02.377,1.512041598248495,1.4496989600437877,0.4042328042328042,2.6821930304688926
58,00:00:02.419,5.46643556528614,3.944353220215289,4.80831964969896,7.64663382594417
59,00:00:02.461,1.2151432220397738,0.9565225323846014,0.34887794198139027,2.3400291917533296
60,00:00:02.502,4.733710393480508,3.519594964422551,3.6272213099799306,7.0543149060390435
61,00:00:02.544,1.757130693912303,1.4984674329501915,0.5807881773399015,3.1921364714468163
62,00:00:02.586,5.707687161710151,4.411074621419449,4.5308885239919725,8.18109833971903
63,00:00:02.628,1.3554643313264003,1.3299580368545887,0.3810800948731983,2.355354862251414
64,00:00:02.669,6.67053457398285,5.7818646232439335,4.388779419813902,9.840959678890714
65,00:00:02.711,1.3846256765796996,1.28925378580551,0.47805145046524355,2.3865717934683452
